code	occupation	gender	conversations	birth-region	age-range	study-level	L1
BOI001	4-Clerical-Workers	M	PBC001	emilia-romagna	61-65	technical-vocational-diploma	italian
BOI002	5-Service-Workers	F	PBB001	estero	51-55	liceo-diploma	italian
BOI003	4-Clerical-Workers	F	PBB002	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI004	2-Professionals	F	PBB003	emilia-romagna	46-50	liceo-diploma	italian
BOI005	4-Clerical-Workers	M	PBB003	emilia-romagna	51-55	technical-vocational-diploma	italian
BOI006	4-Clerical-Workers	F	PBA001	emilia-romagna	26-30	university-degree	italian
BOI007	3-Technicians	F	PBC002	emilia-romagna	71-75	middle-school	italian
BOI008	3-Technicians	M	PBC002	emilia-romagna	76-80	liceo-diploma	italian
BOI009	0-Retired	F	PBC003	emilia-romagna	71-75	primary-school	italian
BOI010	0-Retired	M	PBC003	emilia-romagna	71-75	middle-school	italian
BOI011	0-Retired	F	PBC004	emilia-romagna	66-70	university-degree	italian
BOI012	7-Plant-Operators	M	PBB004	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI013	3-Technicians	F	PBB004	calabria	56-60	technical-vocational-diploma	italian
BOI014	0-Retired	F	PBC005	emilia-romagna	76-80	liceo-diploma	italian
BOI015	3-Technicians	F	PBB005	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI016	3-Technicians	M	PBB005	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI017	6-Craft-Workers	F	PBC006	emilia-romagna	66-70	liceo-diploma	italian
BOI018	3-Technicians	M	PBC006	emilia-romagna	71-75	university-degree	italian
BOI019	0-Retired	F	PBC007	emilia-romagna	over 85	liceo-diploma	italian
BOI020	2-Professionals	M	PBB006	emilia-romagna	51-55	university-degree	italian
BOI021	0-Retired	F	PBC008	emilia-romagna	71-75	liceo-diploma	italian
BOI022	0-Retired	M	PBC009	emilia-romagna	71-75	university-degree	italian
BOI023	0-Retired	F	PBC009	emilia-romagna	71-75	university-degree	italian
BOI024	3-Technicians	F	PBB007	emilia-romagna	36-40	technical-vocational-diploma	italian
BOI025	5-Service-Workers	M	PBB007	emilia-romagna	31-35	technical-vocational-diploma	italian;other
BOI026	2-Professionals	F	PBB008	emilia-romagna	46-50	university-degree	italian
BOI027	2-Professionals	M	PBB009	calabria	31-35	university-degree	italian
BOI028	2-Professionals	F	PBB009	molise	71-75	university-degree	italian
BOI029	2-Professionals	F	PBC010	emilia-romagna	61-65	university-degree	italian
BOI030	5-Service-Workers	F	PBB010	estero	31-35	middle-school	other
BOI031	5-Service-Workers	F	PBB011	basilicata	31-35	technical-vocational-diploma	italian
BOI032	0-Retired	F	PBC011	emilia-romagna	76-80	technical-vocational-diploma	italian
BOI033	0-Retired	F	PBC012	emilia-romagna	61-65	middle-school	italian
BOI034	0-Retired	M	PBC012	emilia-romagna	over 85	primary-school	italian
BOI035	0-Retired	F	PBC013	emilia-romagna	76-80	technical-vocational-diploma	italian
BOI036	0-Retired	M	PBC014	emilia-romagna	76-80	primary-school	italian
BOI037	0-Retired	M	PBC015	emilia-romagna	61-65	university-degree	italian
BOI038	2-Professionals	M	PBC016	piemonte	61-65	university-degree	italian
BOI039	5-Service-Workers	M	PBB012	emilia-romagna	51-55	university-degree	italian
BOI040	7-Plant-Operators	F	PBB013	emilia-romagna	46-50	technical-vocational-diploma	italian
BOI041	7-Plant-Operators	F	PBB014	estero	46-50	liceo-diploma	italian;other
BOI042	0-Retired	M	PBC017	emilia-romagna	71-75	middle-school	italian
BOI043	0-Retired	M	PBC018	emilia-romagna	71-75	middle-school	italian
BOI044	0-Retired	M	PBC019	emilia-romagna	66-70	technical-vocational-diploma	italian
BOI045	7-Plant-Operators	M	PBB015	emilia-romagna	31-35	technical-vocational-diploma	italian
BOI046	7-Plant-Operators	M	PBB015	campania	41-45	technical-vocational-diploma	italian
BOI047	0-Retired	M	PBC020	emilia-romagna	71-75	liceo-diploma	italian
BOI048	0-Retired	M	PBC020	emilia-romagna	71-75	liceo-diploma	italian
BOI049	0-Unemployed	M	PBB016	emilia-romagna	51-55	technical-vocational-diploma	italian
BOI050	4-Clerical-Workers	F	PBB017	sardegna	46-50	liceo-diploma	italian
BOI051	0-Retired	F	PBC021	emilia-romagna	76-80	middle-school	italian
BOI052	2-Professionals	F	PBB018	emilia-romagna	51-55	university-degree	italian
BOI053	0-Students	F	PBA002	emilia-romagna	21-25	university-degree-ongoing	italian
BOI054	6-Craft-Workers	M	PBA002	emilia-romagna	26-30	technical-vocational-diploma	italian
BOI055	0-Retired	F	PBC022	emilia-romagna	76-80	primary-school	dialect
BOI056	2-Professionals	F	PBA003	lazio	26-30	university-degree	italian
BOI057	2-Professionals	F	PBB019	emilia-romagna	51-55	university-degree	italian
BOI058	0-Retired	F	PBC023	emilia-romagna	66-70	middle-school	dialect
BOI059	2-Professionals	F	PBB020	emilia-romagna	36-40	university-degree	italian
BOI060	7-Plant-Operators	M	PBA004	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI061	5-Service-Workers	F	PBA004	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI062	0-Students	F	PBA004	calabria	21-25	university-degree-ongoing	italian
BOI063	4-Clerical-Workers	M	PBA005	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI064	0-Unemployed	F	PBA006	emilia-romagna	21-25	liceo-diploma	italian
BOI065	2-Professionals	F	PBA007	emilia-romagna	16-20	liceo-diploma	italian
BOI066	5-Service-Workers	F	PBA007	emilia-romagna	21-25	liceo-diploma	italian
BOI067	0-Unemployed	F	PBA008	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI068	7-Plant-Operators	F	PBA009	emilia-romagna	16-20	technical-vocational-diploma	italian
BOI069	6-Craft-Workers	M	PBA010	emilia-romagna	21-25	middle-school	italian
BOI070	5-Service-Workers	M	PBA011	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI071	5-Service-Workers	M	PBA011	emilia-romagna	16-20	middle-school	italian
BOI072	0-Unemployed	F	PBA012	emilia-romagna	21-25	liceo-diploma	italian
BOI073	0-Students	M	PBA012	lazio	21-25	university-degree-ongoing	italian
BOI074	4-Clerical-Workers	M	PBA013	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI075	0-Students	F	PBA013	calabria	21-25	university-degree-ongoing	italian
BOI076	7-Plant-Operators	M	PBA014	emilia-romagna	21-25	technical-vocational-diploma	italian
BOI077	0-Students	F	PBA015	emilia-romagna	16-20	university-degree-ongoing	italian
BOI078	0-Students	M	PBA016	emilia-romagna	16-20	university-degree-ongoing	italian
BOI079	0-Students	M	PBA016	emilia-romagna	16-20	university-degree-ongoing	italian
BOI080	5-Service-Workers	M	PBA017	friuli-venezia-giulia	21-25	liceo-diploma	italian
BOI081	7-Plant-Operators	M	PBA017	veneto	21-25	middle-school	italian
BOI082	7-Plant-Operators	M	PBA018	campania	21-25	liceo-diploma	italian
BOI083	0-Unemployed	M	PBA019	lazio	21-25	technical-vocational-diploma	italian
BOI084	4-Clerical-Workers	M	PBA019	lazio	21-25	technical-vocational-diploma	italian
BOI085	4-Clerical-Workers	M	PBB021	emilia-romagna	36-40	middle-school	italian
BOI086	6-Craft-Workers	F	PBB022	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI087	4-Clerical-Workers	M	PBB023	emilia-romagna	51-55	technical-vocational-diploma	italian
BOI088	4-Clerical-Workers	F	PBB023	emilia-romagna	51-55	middle-school	italian
BOI089	5-Service-Workers	M	PBA020	estero	21-25	technical-vocational-diploma	italian;other
BOI090	0-Students	F	PBA021	emilia-romagna	21-25	university-degree-ongoing	italian
BOI091	4-Clerical-Workers	F	PBB024	emilia-romagna	46-50	technical-vocational-diploma	italian
BOI092	6-Craft-Workers	F	PBB025	emilia-romagna	51-55	middle-school	italian
BOI093	3-Technicians	F	PBB026	emilia-romagna	51-55	technical-vocational-diploma	italian
BOI094	3-Technicians	M	PBB026	emilia-romagna	56-60	technical-vocational-diploma	italian
BOI096	0-Students	F	PBA025	emilia-romagna	16-20	middle-school	italian
BOI097	4-Clerical-Workers	M	PBB027	emilia-romagna	31-35	university-degree	italian
BOI098	6-Craft-Workers	M	PBB027	emilia-romagna	31-35	technical-vocational-diploma	italian
BOI099	6-Craft-Workers	M	PBB028	emilia-romagna	31-35	technical-vocational-diploma	italian
BOI100	6-Craft-Workers	M	PBB028	emilia-romagna	31-35	technical-vocational-diploma	italian
BOI101	3-Technicians	M	PBB029	emilia-romagna	31-35	liceo-diploma	italian
BOI102	2-Professionals	F	PBB030	emilia-romagna	31-35	university-degree	italian
BOI103	0-Retired	F	PBC024	emilia-romagna	over 85	middle-school	dialect
BOI104	0-Retired	F	PBC024	emilia-romagna	66-70	university-degree	italian
BOI105	3-Technicians	M	PBA026	emilia-romagna	16-20	technical-vocational-diploma	italian
BOI106	3-Technicians	M	PBA027	emilia-romagna	26-30	technical-vocational-diploma	italian
BOI107	3-Technicians	F	PBA027	emilia-romagna	26-30	university-degree	italian
BOI108	5-Service-Workers	F	PBB031	emilia-romagna	56-60	university-degree	italian
BOI109	5-Service-Workers	M	PBB031	emilia-romagna	56-60	liceo-diploma	italian
BOI110	0-Students	F	PBA028	emilia-romagna	21-25	university-degree-ongoing	italian
BOI111	4-Clerical-Workers	M	PBA028	emilia-romagna	21-25	university-degree	italian
BOI112	0-Retired	F	PBC025	emilia-romagna	61-65	university-degree	italian
BOI113	0-Students	F	PBA029	toscana	16-20	university-degree-ongoing	italian
BOI114	3-Technicians	M	PBA029	emilia-romagna	26-30	technical-vocational-diploma	italian
BOI115	0-Students	F	PBA030	emilia-romagna	16-20	university-degree-ongoing	italian
BOI116	0-Students	M	PBA030	emilia-romagna	21-25	university-degree-ongoing	italian
BOI117	4-Clerical-Workers	F	PBB032	calabria	46-50	university-degree	italian
BOI118	2-Professionals	M	PBB032	calabria	51-55	university-degree	italian
BOI119	2-Professionals	M	PBB033	emilia-romagna	71-75	university-degree	italian
BOR002	0-Students	F	PBC005;PBC009;PBC008;PBB003	emilia-romagna	21-25	university-degree-ongoing	italian
BOR003	0-Students	F	PBC002;PBA001	emilia-romagna	21-25	university-degree-ongoing	italian
BOR004	0-Students	F	PBC006;PBB008;PBC004	emilia-romagna	21-25	university-degree-ongoing	italian
BOR005	0-Students	M	PBB013;PBB014;PBB007;PBC012;PBC008;PBC007;PBB004	marche	21-25	university-degree-ongoing	italian
BOR006	0-Students	M	PBB016;PBB008;PBB012;PBC020	emilia-romagna	21-25	university-degree-ongoing	italian
BOR007	0-Students	F	PBB010;PBB011;PBB009	lombardia	21-25	university-degree-ongoing	italian
BOR008	0-Students	F	PBC011	sardegna	16-20	university-degree-ongoing	italian
BOR009	0-Students	F	PBB015;PBB019;PBC017;PBC013	piemonte	21-25	university-degree-ongoing	italian
BOR011	0-Students	M	PBB017	sardegna	21-25	university-degree-ongoing	italian
BOR012	0-Students	F	PBC021	emilia-romagna	21-25	university-degree	italian
BOR013	0-Students	F	PBB018	emilia-romagna	21-25	university-degree	italian
BOR014	0-Students	F	PBC022	emilia-romagna	21-25	university-degree	italian
BOR015	0-Students	F	PBA003	umbria	21-25	university-degree	italian
BOR016	0-Students	F	PBC023	emilia-romagna	21-25	university-degree	italian
BOR017	3-Technicians	M	PBB020	sicilia	21-25	technical-vocational-diploma	N/A
BOR018	0-Students	F	PBA013;PBA012;PBA004	calabria	21-25	university-degree-ongoing	italian
BOR021	0-Students	F	PBA011	sicilia	21-25	university-degree-ongoing	italian
BOR022	0-Students	F	PBA018;PBA016;PBA019;PBA017	marche	21-25	university-degree-ongoing	italian
BOR023	0-Students	F	PBB021;PBA019	marche	21-25	university-degree-ongoing	italian
BOR024	0-Students	F	PBB022	emilia-romagna	21-25	university-degree-ongoing	italian
BOR027	0-Students	F	PBB023	emilia-romagna	21-25	university-degree-ongoing	italian
BOR029	0-Students	M	PBA020	emilia-romagna	21-25	university-degree-ongoing	italian
BOR032	0-Students	F	PBB026	emilia-romagna	16-20	university-degree-ongoing	italian
BOR037	0-Students	F	PBB033	emilia-romagna	21-25	university-degree-ongoing	italian
BOR001	0-Students	F	PBB001;PBB002;PBB005;PBC001;PBC010;PBB012;PBC003	emilia-romagna	21-25	university-degree-ongoing	italian
BOR010	0-Students	F	PBC019;PBA002;PBC018;PBC014;PBC015;PBC016	emilia-romagna	21-25	university-degree-ongoing	italian
BOR019	0-Students	F	PBA009;PBA010;PBA005;PBA014;PBA015	emilia-romagna	21-25	university-degree-ongoing	italian
BOR020	0-Students	F	PBA006;PBA007;PBA008;PBA016	trentino-alto-adige	21-25	university-degree	italian
BOR025	0-Students	F	PBB022;PBB030;PBC025	emilia-romagna	21-25	university-degree-ongoing	italian
BOR026	0-Students	M	PBB021;PBB023	sardegna	21-25	university-degree-ongoing	italian
BOR028	0-Students	F	PBA029;PBA020	toscana	21-25	university-degree-ongoing	italian
BOR030	0-Students	F	PBA021;PBB024;PBB025	emilia-romagna	21-25	university-degree-ongoing	italian
BOR031	0-Students	M	PBA028;PBA030;PBB026;PBB032;PBB031	emilia-romagna	21-25	university-degree-ongoing	italian
BOR035	0-Students	F	PBC025;PBB030	sicilia	21-25	university-degree-ongoing	italian
BOR036	2-Professionals	F	PBB027;PBB028;PBB029;PBC024;PBA027	emilia-romagna	31-35	phd	italian
BOR034	0-Students	M	PBA025;PBA026	N/A	N/A	university-degree-ongoing	N/A